Date,Ax,Ay,Weight,Bx,By
6/10/2022,-196.9664582,1.44215043,0,630604.5421,4054579.458
6/10/2022,-196.9664582,2.661078244,0,630605.4782,4054580.239
6/10/2022,-196.9664582,3.880006057,0,630606.4143,4054581.019
6/10/2022,-196.9664582,5.098933871,0,630607.3503,4054581.8
6/10/2022,-196.9664582,6.317861685,0,630608.2864,4054582.581
6/10/2022,-196.9664582,7.536789498,0,630609.2224,4054583.362
6/10/2022,-196.9664582,8.755717312,61.60285304,630610.1585,4054584.142
6/10/2022,-196.9664582,9.974645125,246.4114121,630611.0946,4054584.923
6/10/2022,-196.9664582,11.19357294,341.9804947,630612.0306,4054585.704
6/10/2022,-196.9664582,12.41250075,373.8368556,630612.9667,4054586.485
6/10/2022,-196.9664582,13.63142857,373.8368556,630613.9028,4054587.265
6/10/2022,-196.9664582,14.85035638,373.8368556,630614.8388,4054588.046
6/10/2022,-196.9664582,16.06928419,373.8368556,630615.7749,4054588.827
6/10/2022,-196.9664582,17.28821201,373.8368556,630616.711,4054589.608
6/10/2022,-196.9664582,18.50713982,373.8368556,630617.647,4054590.388
6/10/2022,-196.9664582,19.72606763,127.4254434,630618.5831,4054591.169
6/10/2022,-196.9664582,20.94499545,127.4254434,630619.5192,4054591.95
6/10/2022,-196.9664582,22.16392326,127.4254434,630620.4552,4054592.731
6/10/2022,-196.9664582,23.38285108,127.4254434,630621.3913,4054593.511
6/10/2022,-196.9664582,24.60177889,166.9317289,630622.3273,4054594.292
6/10/2022,-196.9664582,25.8207067,166.9317289,630623.2634,4054595.073
6/10/2022,-196.9664582,27.03963452,166.9317289,630624.1995,4054595.854
6/10/2022,-196.9664582,28.25856233,166.9317289,630625.1355,4054596.634
6/10/2022,-196.9664582,29.47749014,166.9317289,630626.0716,4054597.415
6/10/2022,-196.9664582,30.69641796,166.9317289,630627.0077,4054598.196
6/10/2022,-196.9664582,31.91534577,451.6750506,630627.9437,4054598.977
6/10/2022,-196.9664582,33.13427358,127.4254434,630628.8798,4054599.757
6/10/2022,-196.9664582,34.3532014,31.85636086,630629.8159,4054600.538
6/10/2022,-196.9664582,35.57212921,0,630630.7519,4054601.319
6/10/2022,-196.9664582,36.79105702,49.92273413,630631.688,4054602.1
6/10/2022,-196.9664582,38.00998484,261.5180453,630632.624,4054602.88
6/10/2022,-196.9664582,39.22891265,323.345154,630633.5601,4054603.661
6/10/2022,-196.9664582,40.44784047,323.345154,630634.4962,4054604.442
6/10/2022,-196.9664582,41.66676828,323.345154,630635.4322,4054605.223
6/10/2022,-196.9664582,42.88569609,323.345154,630636.3683,4054606.003
6/10/2022,-196.9664582,44.10462391,323.345154,630637.3044,4054606.784
6/10/2022,-196.9664582,45.32355172,323.345154,630638.2404,4054607.565
6/10/2022,-196.9664582,46.54247953,323.345154,630639.1765,4054608.346
6/10/2022,-196.9664582,47.76140735,292.4315996,630640.1126,4054609.126
6/10/2022,-196.9664582,48.98033516,149.7682024,630641.0486,4054609.907
6/10/2022,-196.9664582,50.19926297,66.74758473,630641.9847,4054610.688
6/10/2022,-196.9664582,51.41819079,88.99677964,630642.9208,4054611.469
6/10/2022,-196.9664582,52.6371186,324.2124952,630643.8568,4054612.249
6/10/2022,-196.9664582,53.85604642,324.2124952,630644.7929,4054613.03
6/10/2022,-196.9664582,55.07497423,324.2124952,630645.7289,4054613.811
6/10/2022,-196.9664582,56.29390204,324.2124952,630646.665,4054614.592
6/10/2022,-196.9664582,57.51282986,324.2124952,630647.6011,4054615.372
6/10/2022,-196.9664582,58.73175767,324.2124952,630648.5371,4054616.153
6/10/2022,-196.9664582,59.95068548,338.422205,630649.4732,4054616.934
6/10/2022,-196.9664582,61.1696133,352.6319149,630650.4093,4054617.715
6/10/2022,-196.9664582,62.38854111,352.6319149,630651.3453,4054618.495
6/10/2022,-196.9664582,63.60746892,176.2201282,630652.2814,4054619.276
6/10/2022,-196.9664582,64.82639674,117.4161993,630653.2175,4054620.057
6/10/2022,-196.9664582,66.04532455,156.386718,630654.1535,4054620.838
6/10/2022,-196.9664582,67.26425236,195.3572367,630655.0896,4054621.618
6/10/2022,-196.9664582,68.48318018,195.3572367,630656.0256,4054622.399
6/10/2022,-196.9664582,69.70210799,195.3572367,630656.9617,4054623.18
6/10/2022,-196.9664582,70.92103581,195.3572367,630657.8978,4054623.961
6/10/2022,-196.9664582,72.13996362,195.3572367,630658.8338,4054624.741
6/10/2022,-196.9664582,73.35889143,195.3572367,630659.7699,4054625.522
6/10/2022,-196.9664582,74.57781925,19.48525935,630660.706,4054626.303
6/10/2022,-196.9664582,75.79674706,0,630661.642,4054627.084
6/10/2022,-196.9664582,77.01567487,0,630662.5781,4054627.864
6/10/2022,-196.9664582,78.23460269,0,630663.5142,4054628.645
6/10/2022,-196.9664582,79.4535305,0,630664.4502,4054629.426
