Date,Ax,Ay,Weight,Bx,By
6/7/2022,-196.9664582,1.44215043,0,630604.5421,4054579.458
6/7/2022,-196.9664582,2.661078244,0,630605.4782,4054580.239
6/7/2022,-196.9664582,3.880006057,0,630606.4143,4054581.019
6/7/2022,-196.9664582,5.098933871,0,630607.3503,4054581.8
6/7/2022,-196.9664582,6.317861685,0,630608.2864,4054582.581
6/7/2022,-196.9664582,7.536789498,107.5135666,630609.2224,4054583.362
6/7/2022,-196.9664582,8.755717312,229.2227757,630610.1585,4054584.142
6/7/2022,-196.9664582,9.974645125,229.2227757,630611.0946,4054584.923
6/7/2022,-196.9664582,11.19357294,404.655461,630612.0306,4054585.704
6/7/2022,-196.9664582,12.41250075,463.1330227,630612.9667,4054586.485
6/7/2022,-196.9664582,13.63142857,463.1330227,630613.9028,4054587.265
6/7/2022,-196.9664582,14.85035638,463.1330227,630614.8388,4054588.046
6/7/2022,-196.9664582,16.06928419,463.1330227,630615.7749,4054588.827
6/7/2022,-196.9664582,17.28821201,463.1330227,630616.711,4054589.608
6/7/2022,-196.9664582,18.50713982,463.1330227,630617.647,4054590.388
6/7/2022,-196.9664582,19.72606763,463.1330227,630618.5831,4054591.169
6/7/2022,-196.9664582,20.94499545,463.1330227,630619.5192,4054591.95
6/7/2022,-196.9664582,22.16392326,463.1330227,630620.4552,4054592.731
6/7/2022,-196.9664582,23.38285108,207.0651625,630621.3913,4054593.511
6/7/2022,-196.9664582,24.60177889,121.7092091,630622.3273,4054594.292
6/7/2022,-196.9664582,25.8207067,121.7092091,630623.2634,4054595.073
6/7/2022,-196.9664582,27.03963452,0,630624.1995,4054595.854
6/7/2022,-196.9664582,28.25856233,174.5676064,630625.1355,4054596.634
6/7/2022,-196.9664582,29.47749014,232.7568085,630626.0716,4054597.415
6/7/2022,-196.9664582,30.69641796,232.7568085,630627.0077,4054598.196
6/7/2022,-196.9664582,31.91534577,232.7568085,630627.9437,4054598.977
6/7/2022,-196.9664582,33.13427358,232.7568085,630628.8798,4054599.757
