Date,Ax,Ay,Weight,Bx,By
6/3/2022,-196.9664582,1.44215043,0,630604.5421,4054579.458
6/3/2022,-196.9664582,2.661078244,0,630605.4782,4054580.239
6/3/2022,-196.9664582,3.880006057,0,630606.4143,4054581.019
6/3/2022,-196.9664582,5.098933871,293.7486453,630607.3503,4054581.8
6/3/2022,-196.9664582,6.317861685,202.9712967,630608.2864,4054582.581
6/3/2022,-196.9664582,7.536789498,202.9712967,630609.2224,4054583.362
6/3/2022,-196.9664582,8.755717312,202.9712967,630610.1585,4054584.142
6/3/2022,-196.9664582,9.974645125,202.9712967,630611.0946,4054584.923
6/3/2022,-196.9664582,11.19357294,446.9803284,630612.0306,4054585.704
6/3/2022,-196.9664582,12.41250075,306.4633662,630612.9667,4054586.485
6/3/2022,-196.9664582,13.63142857,306.4633662,630613.9028,4054587.265
6/3/2022,-196.9664582,14.85035638,306.4633662,630614.8388,4054588.046
6/3/2022,-196.9664582,16.06928419,306.4633662,630615.7749,4054588.827
6/3/2022,-196.9664582,17.28821201,430.3483131,630616.711,4054589.608
6/3/2022,-196.9664582,18.50713982,471.6432954,630617.647,4054590.388
6/3/2022,-196.9664582,19.72606763,471.6432954,630618.5831,4054591.169
6/3/2022,-196.9664582,20.94499545,289.5651776,630619.5192,4054591.95
6/3/2022,-196.9664582,22.16392326,289.5651776,630620.4552,4054592.731
6/3/2022,-196.9664582,23.38285108,227.3725534,630621.3913,4054593.511
6/3/2022,-196.9664582,24.60177889,165.1799292,630622.3273,4054594.292
6/3/2022,-196.9664582,25.8207067,165.1799292,630623.2634,4054595.073
6/3/2022,-196.9664582,27.03963452,253.4805326,630624.1995,4054595.854
6/3/2022,-196.9664582,28.25856233,259.1911714,630625.1355,4054596.634
6/3/2022,-196.9664582,29.47749014,176.6012068,630626.0716,4054597.415
6/3/2022,-196.9664582,30.69641796,176.6012068,630627.0077,4054598.196
6/3/2022,-196.9664582,31.91534577,176.6012068,630627.9437,4054598.977
6/3/2022,-196.9664582,33.13427358,176.6012068,630628.8798,4054599.757
6/3/2022,-196.9664582,34.3532014,176.6012068,630629.8159,4054600.538
6/3/2022,-196.9664582,35.57212921,176.6012068,630630.7519,4054601.319
6/3/2022,-196.9664582,36.79105702,176.6012068,630631.688,4054602.1
6/3/2022,-196.9664582,38.00998484,176.6012068,630632.624,4054602.88
6/3/2022,-196.9664582,39.22891265,176.6012068,630633.5601,4054603.661
6/3/2022,-196.9664582,40.44784047,176.6012068,630634.4962,4054604.442
6/3/2022,-196.9664582,41.66676828,176.6012068,630635.4322,4054605.223
6/3/2022,-196.9664582,42.88569609,176.6012068,630636.3683,4054606.003
6/3/2022,-196.9664582,44.10462391,176.6012068,630637.3044,4054606.784
6/3/2022,-196.9664582,45.32355172,176.6012068,630638.2404,4054607.565
6/3/2022,-196.9664582,46.54247953,404.2699843,630639.1765,4054608.346
6/3/2022,-196.9664582,47.76140735,404.2699843,630640.1126,4054609.126
6/3/2022,-196.9664582,48.98033516,404.2699843,630641.0486,4054609.907
6/3/2022,-196.9664582,50.19926297,404.2699843,630641.9847,4054610.688
6/3/2022,-196.9664582,51.41819079,404.2699843,630642.9208,4054611.469
6/3/2022,-196.9664582,52.6371186,404.2699843,630643.8568,4054612.249
6/3/2022,-196.9664582,53.85604642,404.2699843,630644.7929,4054613.03
6/3/2022,-196.9664582,55.07497423,290.4355955,630645.7289,4054613.811
6/3/2022,-196.9664582,56.29390204,176.6012068,630646.665,4054614.592
6/3/2022,-196.9664582,57.51282986,44.15030169,630647.6011,4054615.372
6/3/2022,-196.9664582,58.73175767,210.0654099,630648.5371,4054616.153
6/3/2022,-196.9664582,59.95068548,210.0654099,630649.4732,4054616.934
6/3/2022,-196.9664582,61.1696133,210.0654099,630650.4093,4054617.715
6/3/2022,-196.9664582,62.38854111,210.0654099,630651.3453,4054618.495
6/3/2022,-196.9664582,63.60746892,210.0654099,630652.2814,4054619.276
6/3/2022,-196.9664582,64.82639674,210.0654099,630653.2175,4054620.057
6/3/2022,-196.9664582,66.04532455,210.0654099,630654.1535,4054620.838
6/3/2022,-196.9664582,67.26425236,210.0654099,630655.0896,4054621.618
6/3/2022,-196.9664582,68.48318018,52.51635248,630656.0256,4054622.399
6/3/2022,-196.9664582,69.70210799,0,630656.9617,4054623.18
6/3/2022,-196.9664582,70.92103581,0,630657.8978,4054623.961
6/3/2022,-196.9664582,72.13996362,0,630658.8338,4054624.741
6/3/2022,-196.9664582,73.35889143,0,630659.7699,4054625.522
6/3/2022,-196.9664582,74.57781925,0,630660.706,4054626.303
6/3/2022,-196.9664582,75.79674706,0,630661.642,4054627.084
6/3/2022,-196.9664582,77.01567487,0,630662.5781,4054627.864
6/3/2022,-196.9664582,78.23460269,0,630663.5142,4054628.645
6/3/2022,-196.9664582,79.4535305,0,630664.4502,4054629.426
6/3/2022,-196.9664582,80.67245831,0,630665.3863,4054630.207
6/3/2022,-196.9664582,81.89138613,0,630666.3224,4054630.987
6/3/2022,-195.7475304,1.44215043,0,630605.3229,4054578.522
6/3/2022,-195.7475304,2.661078244,202.9712967,630606.2589,4054579.303
6/3/2022,-195.7475304,3.880006057,0,630607.195,4054580.083
6/3/2022,-195.7475304,5.098933871,293.7486453,630608.1311,4054580.864
6/3/2022,-195.7475304,6.317861685,202.9712967,630609.0671,4054581.645
6/3/2022,-195.7475304,7.536789498,202.9712967,630610.0032,4054582.426
6/3/2022,-195.7475304,8.755717312,202.9712967,630610.9393,4054583.206
6/3/2022,-195.7475304,9.974645125,202.9712967,630611.8753,4054583.987
6/3/2022,-195.7475304,11.19357294,446.9803284,630612.8114,4054584.768
6/3/2022,-195.7475304,12.41250075,412.4829381,630613.7475,4054585.549
6/3/2022,-195.7475304,13.63142857,447.8227955,630614.6835,4054586.329
6/3/2022,-195.7475304,14.85035638,447.8227955,630615.6196,4054587.11
6/3/2022,-195.7475304,16.06928419,447.8227955,630616.5556,4054587.891
6/3/2022,-195.7475304,17.28821201,571.7077424,630617.4917,4054588.672
6/3/2022,-195.7475304,18.50713982,202.9712967,630618.4278,4054589.452
6/3/2022,-195.7475304,19.72606763,202.9712967,630619.3638,4054590.233
6/3/2022,-195.7475304,20.94499545,430.9246069,630620.2999,4054591.014
6/3/2022,-195.7475304,22.16392326,430.9246069,630621.236,4054591.795
6/3/2022,-195.7475304,23.38285108,368.7319827,630622.172,4054592.575
6/3/2022,-195.7475304,24.60177889,306.5393585,630623.1081,4054593.356
6/3/2022,-195.7475304,25.8207067,165.1799292,630624.0442,4054594.137
6/3/2022,-195.7475304,27.03963452,253.4805326,630624.9802,4054594.918
6/3/2022,-195.7475304,28.25856233,259.1911714,630625.9163,4054595.698
6/3/2022,-195.7475304,29.47749014,176.6012068,630626.8523,4054596.479
6/3/2022,-195.7475304,30.69641796,176.6012068,630627.7884,4054597.26
6/3/2022,-195.7475304,31.91534577,176.6012068,630628.7245,4054598.041
6/3/2022,-195.7475304,33.13427358,176.6012068,630629.6605,4054598.821
6/3/2022,-195.7475304,34.3532014,176.6012068,630630.5966,4054599.602
6/3/2022,-195.7475304,35.57212921,176.6012068,630631.5327,4054600.383
6/3/2022,-195.7475304,36.79105702,176.6012068,630632.4687,4054601.164
6/3/2022,-195.7475304,38.00998484,176.6012068,630633.4048,4054601.944
6/3/2022,-195.7475304,39.22891265,176.6012068,630634.3409,4054602.725
6/3/2022,-195.7475304,40.44784047,176.6012068,630635.2769,4054603.506
6/3/2022,-195.7475304,41.66676828,176.6012068,630636.213,4054604.287
6/3/2022,-195.7475304,42.88569609,176.6012068,630637.1491,4054605.067
6/3/2022,-195.7475304,44.10462391,176.6012068,630638.0851,4054605.848
6/3/2022,-195.7475304,45.32355172,176.6012068,630639.0212,4054606.629
6/3/2022,-195.7475304,46.54247953,404.2699843,630639.9572,4054607.41
6/3/2022,-195.7475304,47.76140735,404.2699843,630640.8933,4054608.19
6/3/2022,-195.7475304,48.98033516,522.6996612,630641.8294,4054608.971
6/3/2022,-195.7475304,50.19926297,202.9712967,630642.7654,4054609.752
6/3/2022,-195.7475304,51.41819079,202.9712967,630643.7015,4054610.533
6/3/2022,-195.7475304,52.6371186,202.9712967,630644.6376,4054611.313
6/3/2022,-195.7475304,53.85604642,202.9712967,630645.5736,4054612.094
6/3/2022,-195.7475304,55.07497423,527.2949493,630646.5097,4054612.875
6/3/2022,-195.7475304,56.29390204,413.4605606,630647.4458,4054613.656
6/3/2022,-195.7475304,57.51282986,103.3651401,630648.3818,4054614.436
6/3/2022,-195.7475304,58.73175767,210.0654099,630649.3179,4054615.217
6/3/2022,-195.7475304,59.95068548,210.0654099,630650.2539,4054615.998
6/3/2022,-195.7475304,61.1696133,210.0654099,630651.19,4054616.779
6/3/2022,-195.7475304,62.38854111,374.042498,630652.1261,4054617.559
6/3/2022,-195.7475304,63.60746892,428.7015274,630653.0621,4054618.34
6/3/2022,-195.7475304,64.82639674,428.7015274,630653.9982,4054619.121
6/3/2022,-195.7475304,66.04532455,428.7015274,630654.9343,4054619.902
6/3/2022,-195.7475304,67.26425236,428.7015274,630655.8703,4054620.682
6/3/2022,-195.7475304,68.48318018,271.15247,630656.8064,4054621.463
6/3/2022,-195.7475304,69.70210799,218.6361175,630657.7425,4054622.244
6/3/2022,-195.7475304,70.92103581,218.6361175,630658.6785,4054623.025
6/3/2022,-195.7475304,72.13996362,109.3180587,630659.6146,4054623.805
6/3/2022,-195.7475304,73.35889143,0,630660.5507,4054624.586
6/3/2022,-195.7475304,74.57781925,0,630661.4867,4054625.367
6/3/2022,-195.7475304,75.79674706,0,630662.4228,4054626.148
6/3/2022,-195.7475304,77.01567487,0,630663.3588,4054626.928
6/3/2022,-195.7475304,78.23460269,0,630664.2949,4054627.709
6/3/2022,-195.7475304,79.4535305,0,630665.231,4054628.49
6/3/2022,-195.7475304,80.67245831,0,630666.167,4054629.271
6/3/2022,-195.7475304,81.89138613,0,630667.1031,4054630.051
6/3/2022,-194.5286025,1.44215043,0,630606.1036,4054577.586
6/3/2022,-194.5286025,2.661078244,0,630607.0397,4054578.367
6/3/2022,-194.5286025,3.880006057,0,630607.9758,4054579.147
6/3/2022,-194.5286025,5.098933871,96.29065022,630608.9118,4054579.928
6/3/2022,-194.5286025,6.317861685,192.5813004,630609.8479,4054580.709
6/3/2022,-194.5286025,7.536789498,192.5813004,630610.7839,4054581.49
6/3/2022,-194.5286025,8.755717312,192.5813004,630611.72,4054582.27
6/3/2022,-194.5286025,9.974645125,192.5813004,630612.6561,4054583.051
6/3/2022,-194.5286025,11.19357294,192.5813004,630613.5921,4054583.832
6/3/2022,-194.5286025,12.41250075,298.6008724,630614.5282,4054584.613
6/3/2022,-194.5286025,13.63142857,333.9407297,630615.4643,4054585.393
6/3/2022,-194.5286025,14.85035638,141.3594293,630616.4003,4054586.174
6/3/2022,-194.5286025,16.06928419,141.3594293,630617.3364,4054586.955
6/3/2022,-194.5286025,17.28821201,141.3594293,630618.2725,4054587.736
6/3/2022,-194.5286025,18.50713982,486.6245403,630619.2085,4054588.516
6/3/2022,-194.5286025,19.72606763,486.6245403,630620.1446,4054589.297
6/3/2022,-194.5286025,20.94499545,486.6245403,630621.0806,4054590.078
6/3/2022,-194.5286025,22.16392326,486.6245403,630622.0167,4054590.859
6/3/2022,-194.5286025,23.38285108,486.6245403,630622.9528,4054591.639
6/3/2022,-194.5286025,24.60177889,486.6245403,630623.8888,4054592.42
6/3/2022,-194.5286025,25.8207067,258.9488333,630624.8249,4054593.201
6/3/2022,-194.5286025,27.03963452,0,630625.761,4054593.982
6/3/2022,-194.5286025,28.25856233,0,630626.697,4054594.762
6/3/2022,-194.5286025,29.47749014,0,630627.6331,4054595.543
6/3/2022,-194.5286025,30.69641796,0,630628.5692,4054596.324
6/3/2022,-194.5286025,31.91534577,0,630629.5052,4054597.105
6/3/2022,-194.5286025,33.13427358,0,630630.4413,4054597.885
6/3/2022,-194.5286025,34.3532014,0,630631.3774,4054598.666
6/3/2022,-194.5286025,35.57212921,0,630632.3134,4054599.447
6/3/2022,-194.5286025,36.79105702,0,630633.2495,4054600.228
6/3/2022,-194.5286025,38.00998484,0,630634.1855,4054601.008
6/3/2022,-194.5286025,39.22891265,0,630635.1216,4054601.789
6/3/2022,-194.5286025,40.44784047,0,630636.0577,4054602.57
6/3/2022,-194.5286025,41.66676828,0,630636.9937,4054603.351
6/3/2022,-194.5286025,42.88569609,0,630637.9298,4054604.131
6/3/2022,-194.5286025,44.10462391,0,630638.8659,4054604.912
6/3/2022,-194.5286025,45.32355172,0,630639.8019,4054605.693
