Date,Ax,Ay,Weight,Bx,By
9/21/2022,-195.7475304,9.974645125,86.1447519,630611.8753,4054583.987
9/21/2022,-195.7475304,11.19357294,63.06914362,630612.8114,4054584.768
9/21/2022,-195.7475304,12.41250075,109.7015246,630613.7475,4054585.549
9/21/2022,-195.7475304,13.63142857,132.9375211,630614.6835,4054586.329
9/21/2022,-195.7475304,14.85035638,132.9375211,630615.6196,4054587.11
9/21/2022,-195.7475304,16.06928419,132.9375211,630616.5556,4054587.891
9/21/2022,-195.7475304,17.28821201,132.9375211,630617.4917,4054588.672
9/21/2022,-195.7475304,18.50713982,132.9375211,630618.4278,4054589.452
9/21/2022,-195.7475304,19.72606763,132.9375211,630619.3638,4054590.233
9/21/2022,-195.7475304,20.94499545,132.9375211,630620.2999,4054591.014
9/21/2022,-195.7475304,22.16392326,132.9375211,630621.236,4054591.795
9/21/2022,-195.7475304,23.38285108,132.9375211,630622.172,4054592.575
9/21/2022,-195.7475304,24.60177889,132.9375211,630623.1081,4054593.356
9/21/2022,-195.7475304,25.8207067,132.9375211,630624.0442,4054594.137
9/21/2022,-195.7475304,27.03963452,132.9375211,630624.9802,4054594.918
9/21/2022,-195.7475304,28.25856233,132.9375211,630625.9163,4054595.698
9/21/2022,-195.7475304,29.47749014,132.9375211,630626.8523,4054596.479
9/21/2022,-195.7475304,30.69641796,132.9375211,630627.7884,4054597.26
9/21/2022,-195.7475304,31.91534577,132.9375211,630628.7245,4054598.041
9/21/2022,-195.7475304,33.13427358,132.9375211,630629.6605,4054598.821
9/21/2022,-195.7475304,34.3532014,132.9375211,630630.5966,4054599.602
9/21/2022,-195.7475304,35.57212921,151.221075,630631.5327,4054600.383
9/21/2022,-195.7475304,36.79105702,66.17357516,630632.4687,4054601.164
9/21/2022,-195.7475304,38.00998484,66.17357516,630633.4048,4054601.944
9/21/2022,-195.7475304,39.22891265,66.17357516,630634.3409,4054602.725
9/21/2022,-195.7475304,40.44784047,66.17357516,630635.2769,4054603.506
9/21/2022,-195.7475304,41.66676828,66.17357516,630636.213,4054604.287
9/21/2022,-195.7475304,42.88569609,66.17357516,630637.1491,4054605.067
9/21/2022,-195.7475304,44.10462391,66.17357516,630638.0851,4054605.848
9/21/2022,-195.7475304,45.32355172,66.17357516,630639.0212,4054606.629
9/21/2022,-195.7475304,46.54247953,66.17357516,630639.9572,4054607.41
9/21/2022,-195.7475304,47.76140735,66.17357516,630640.8933,4054608.19
9/21/2022,-195.7475304,48.98033516,66.17357516,630641.8294,4054608.971
9/21/2022,-195.7475304,50.19926297,66.17357516,630642.7654,4054609.752
9/21/2022,-195.7475304,51.41819079,66.17357516,630643.7015,4054610.533
9/21/2022,-195.7475304,52.6371186,66.17357516,630644.6376,4054611.313
