Date,Ax,Ay,Weight,Bx,By
7/30/2022,-196.9664582,1.44215043,0,630604.5421,4054579.458
7/30/2022,-196.9664582,2.661078244,0,630605.4782,4054580.239
7/30/2022,-196.9664582,3.880006057,0,630606.4143,4054581.019
7/30/2022,-196.9664582,5.098933871,21.63132912,630607.3503,4054581.8
7/30/2022,-196.9664582,6.317861685,43.26265825,630608.2864,4054582.581
7/30/2022,-196.9664582,7.536789498,43.26265825,630609.2224,4054583.362
7/30/2022,-196.9664582,8.755717312,43.26265825,630610.1585,4054584.142
7/30/2022,-196.9664582,9.974645125,43.26265825,630611.0946,4054584.923
7/30/2022,-196.9664582,11.19357294,43.26265825,630612.0306,4054585.704
7/30/2022,-196.9664582,12.41250075,43.26265825,630612.9667,4054586.485
7/30/2022,-196.9664582,13.63142857,43.26265825,630613.9028,4054587.265
7/30/2022,-196.9664582,14.85035638,43.26265825,630614.8388,4054588.046
7/30/2022,-196.9664582,16.06928419,43.26265825,630615.7749,4054588.827
7/30/2022,-196.9664582,17.28821201,43.26265825,630616.711,4054589.608
7/30/2022,-196.9664582,18.50713982,43.26265825,630617.647,4054590.388
7/30/2022,-196.9664582,19.72606763,43.26265825,630618.5831,4054591.169
7/30/2022,-196.9664582,20.94499545,43.26265825,630619.5192,4054591.95
7/30/2022,-196.9664582,22.16392326,43.26265825,630620.4552,4054592.731
7/30/2022,-196.9664582,23.38285108,21.63132912,630621.3913,4054593.511
7/30/2022,-196.9664582,24.60177889,0,630622.3273,4054594.292
7/30/2022,-196.9664582,25.8207067,0,630623.2634,4054595.073
7/30/2022,-196.9664582,27.03963452,16.45123782,630624.1995,4054595.854
7/30/2022,-196.9664582,28.25856233,32.90247564,630625.1355,4054596.634
7/30/2022,-196.9664582,29.47749014,32.90247564,630626.0716,4054597.415
7/30/2022,-196.9664582,30.69641796,32.90247564,630627.0077,4054598.196
7/30/2022,-196.9664582,31.91534577,32.90247564,630627.9437,4054598.977
7/30/2022,-196.9664582,33.13427358,32.90247564,630628.8798,4054599.757
7/30/2022,-196.9664582,34.3532014,32.90247564,630629.8159,4054600.538
7/30/2022,-196.9664582,35.57212921,32.90247564,630630.7519,4054601.319
